,ZIP Code,City,Population,Households,AVG Income
,93510,Acton,"7,018","2,729","$86,944"
,93532,Lake Hughes,"1,384","1,079","$55,000"
,93534,Lancaster,"42,283","14,038","$35,434"
,93535,Lancaster,"78,913","20,672","$40,588"
,93536,Lancaster,"70,075","20,964","$70,195"
,93539,Lancaster,,,
,93543,Littlerock,"13,051","3,560","$53,241"
,93544,Llano,840,569,"$56,205"
,93550,Palmdale,"82,923","20,864","$37,669"
,93551,Palmdale,"54,711","15,963","$84,486"
,93552,Palmdale,"41,496","9,690","$54,132"
,93553,Pearblossom,987,816,"$52,639"
,93563,Valyermo,388,103,"$57,417"
,93584,Lancaster,,,
,93586,Lancaster,,,
,93590,Palmdale,,,
,93591,Palmdale,"7,483","1,982","$40,805"
,93599,Palmdale,,,
